Image,Class,Correct predtiction from h5,Perturbation for h5,Number of iterations for h5,Probability of wrong prediction h5,Wrong class by h5,Correct prediction from tflite,Perturbation for tflite,Number of iterations for tflite,Probability of wrong prediction tflite,Wrong class by tflite,Correct prediction from axc,Perturbation for axc,Number of iterations for axc,Probability of wrong prediction axc,Wrong class by axc
0,Cat,0.90375733,0.00392156862745098,1,0.8504126,Dog,0.71484375,0.00392156862745098,1,0.8828125,Dog,0.6456536718760787,0.00392156862745098,1,0.6456536718760787,Dog
1,Ship,0.98375016,0.00392156862745098,1,0.9364656,Automobile,0.99609375,0.00784313725490196,1,0.6953125,Automobile,0.4543209338430897,0.00784313725490196,1,0.4543209338430897,Automobile
2,Ship,0.8124999,0.00392156862745098,1,0.97612894,Automobile,0.8515625,0.00392156862745098,1,0.8203125,Automobile,0.5711279768297687,0.00392156862745098,1,0.5711279768297687,Automobile
4,Frog,0.80885136,0.00392156862745098,1,0.9958165,Deer,0.9765625,0.00392156862745098,3,0.3671875,Deer,0.49608475608120817,0.00392156862745098,1,0.49608475608120817,Deer
5,Frog,0.99988496,0.00784313725490196,1,0.36936763,Dog,0.99609375,0.011764705882352941,13,0.5546875,Dog,0.3846480876433791,0.00784313725490196,33,0.3846480876433791,Dog
6,Automobile,0.8863271,0.00392156862745098,1,0.9710179,Truck,0.98828125,0.00392156862745098,1,0.58203125,Truck,0.4399494861572517,0.00392156862745098,1,0.4399494861572517,Truck
7,Frog,0.98126423,0.00392156862745098,3,0.42992437,Bird,0.99609375,0.00784313725490196,6,0.51953125,Bird,0.3638685005248089,0.00784313725490196,1,0.3638685005248089,Airplane
8,Cat,0.96681,0.00392156862745098,1,0.37188053,Dog,0.984375,0.00784313725490196,1,0.58203125,Frog,0.400358715622669,0.00784313725490196,1,0.400358715622669,Frog
9,Automobile,0.82458395,0.00392156862745098,1,0.92606366,Truck,0.61328125,0.00392156862745098,1,0.88671875,Truck,0.6394899197583628,0.00392156862745098,1,0.6394899197583628,Truck
10,Airplane,0.985143,0.00784313725490196,1,0.7022523,Bird,0.98828125,0.00784313725490196,3,0.421875,Deer,0.34363270064643925,0.00784313725490196,2,0.34363270064643925,Bird
11,Truck,0.9999702,0.00784313725490196,10,0.50236607,Automobile,0.99609375,0.011764705882352941,3,0.58203125,Automobile,0.4602993669471421,0.011764705882352941,29,0.4602993669471421,Automobile
13,Horse,0.9983937,0.00784313725490196,1,0.33876488,Dog,0.99609375,0.00784313725490196,1,0.39453125,Dog,0.4074851009855835,0.01568627450980392,6,0.4074851009855835,Truck
14,Truck,0.9999795,0.011764705882352941,4,0.62285715,Automobile,0.99609375,0.011764705882352941,38,0.5,Automobile,0.5088582593017033,0.01568627450980392,3,0.5088582593017033,Automobile
15,Ship,0.8059095,0.00392156862745098,1,0.86179477,Deer,0.99609375,0.00784313725490196,1,0.38671875,Deer,0.3137481141621721,0.00784313725490196,1,0.3137481141621721,Deer
16,Dog,0.72443265,0.00392156862745098,1,0.9369743,Cat,0.890625,0.00392156862745098,1,0.65625,Cat,0.5382518689650725,0.00392156862745098,1,0.5382518689650725,Cat
17,Horse,0.9897115,0.00784313725490196,1,0.70876217,Cat,0.9765625,0.00784313725490196,1,0.31640625,Cat,0.344387525988587,0.00784313725490196,1,0.344387525988587,Cat
18,Ship,0.9994808,0.00784313725490196,1,0.5390372,Truck,0.96484375,0.00392156862745098,1,0.59375,Truck,0.3355991924130033,0.00392156862745098,1,0.3355991924130033,Automobile
19,Frog,0.99953425,0.00784313725490196,1,0.79625183,Bird,0.99609375,0.011764705882352941,1,0.6953125,Bird,0.4650010494250558,0.00784313725490196,3,0.4650010494250558,Bird
21,Airplane,0.9971034,0.011764705882352941,1,0.53621817,Bird,0.99609375,0.011764705882352941,3,0.62109375,Bird,0.45746587555645946,0.00392156862745098,3,0.45746587555645946,Automobile
22,Deer,0.91413265,0.00392156862745098,1,0.93433666,Airplane,0.9609375,0.00392156862745098,1,0.828125,Airplane,0.6255580981329482,0.00392156862745098,1,0.6255580981329482,Airplane
23,Truck,0.99986136,0.00784313725490196,1,0.5548449,Automobile,0.99609375,0.00784313725490196,3,0.5390625,Automobile,0.5771216254378222,0.011764705882352941,2,0.5771216254378222,Automobile
26,Deer,0.83718383,0.00392156862745098,1,0.8628675,Horse,0.48828125,0.00392156862745098,1,0.87109375,Frog,0.6641892148570232,0.00392156862745098,1,0.6641892148570232,Frog
27,Airplane,0.5917895,0.00392156862745098,1,0.9793554,Bird,0.9609375,0.00392156862745098,1,0.57421875,Bird,0.5156420051841794,0.00784313725490196,1,0.5156420051841794,Bird
28,Truck,0.99390393,0.00784313725490196,1,0.82083607,Automobile,0.99609375,0.00784313725490196,1,0.5,Automobile,0.5482559217475449,0.00784313725490196,2,0.5482559217475449,Automobile
29,Frog,0.99999845,0.011764705882352941,1,0.5805345,Deer,0.99609375,0.011764705882352941,6,0.484375,Deer,0.44373881634488155,0.011764705882352941,3,0.44373881634488155,Deer
30,Frog,0.9960562,0.00392156862745098,17,0.31834412,Deer,0.99609375,0.011764705882352941,2,0.44921875,Cat,0.43346852040049955,0.00784313725490196,3,0.43346852040049955,Cat
34,Truck,0.9987675,0.00784313725490196,1,0.61004305,Airplane,0.99609375,0.011764705882352941,3,0.5546875,Airplane,0.5268467087285542,0.011764705882352941,4,0.5268467087285542,Airplane
36,Deer,0.9976913,0.00392156862745098,12,0.47179046,Dog,0.94140625,0.00392156862745098,2,0.4609375,Horse,0.3504915430820053,0.00392156862745098,1,0.3504915430820053,Dog
38,Truck,0.99936646,0.00784313725490196,2,0.5881548,Automobile,0.99609375,0.011764705882352941,1,0.8359375,Automobile,0.44328210372059657,0.00784313725490196,2,0.44328210372059657,Automobile
39,Dog,0.9953616,0.00784313725490196,1,0.45345676,Horse,0.9921875,0.00784313725490196,45,0.49609375,Horse,0.43555000751481393,0.00784313725490196,8,0.43555000751481393,Horse
40,Deer,0.97399354,0.00392156862745098,1,0.4412083,Bird,0.74609375,0.00392156862745098,1,0.53515625,Bird,0.3724216075833764,0.00392156862745098,1,0.3724216075833764,Bird
41,Frog,0.99999714,0.011764705882352941,2,0.61925274,Bird,0.99609375,0.01568627450980392,3,0.65625,Bird,0.5115245476785882,0.01568627450980392,3,0.5115245476785882,Bird
43,Frog,0.9999255,0.00784313725490196,1,0.78536993,Ship,0.99609375,0.011764705882352941,4,0.53125,Ship,0.6121108386250786,0.00784313725490196,1,0.6121108386250786,Cat
44,Airplane,0.9593594,0.00392156862745098,1,0.5424514,Ship,0.9765625,0.00784313725490196,1,0.8203125,Ship,0.6030046283029667,0.00784313725490196,1,0.6030046283029667,Ship
45,Truck,0.9984686,0.00784313725490196,1,0.90604025,Automobile,0.99609375,0.00784313725490196,1,0.5,Automobile,0.4718142040149346,0.01568627450980392,9,0.4718142040149346,Automobile
46,Cat,0.7659279,0.00392156862745098,1,0.66049725,Frog,0.5390625,0.00392156862745098,1,0.83203125,Frog,0.41069113375438027,0.00392156862745098,1,0.41069113375438027,Frog
48,Horse,0.99569243,0.00392156862745098,1,0.8541979,Deer,0.99609375,0.00784313725490196,1,0.94921875,Deer,0.49890839590463226,0.00784313725490196,1,0.49890839590463226,Deer
49,Frog,0.82671547,0.00392156862745098,1,0.68945205,Deer,0.83203125,0.00392156862745098,1,0.78515625,Bird,0.7782002063127158,0.00392156862745098,1,0.7782002063127158,Bird
50,Truck,0.99235255,0.00392156862745098,2,0.50379837,Automobile,0.99609375,0.00784313725490196,1,0.91796875,Automobile,0.5080850334717841,0.00784313725490196,1,0.5080850334717841,Automobile
51,Ship,0.9780076,0.00392156862745098,1,0.46336424,Deer,0.4609375,0.00392156862745098,1,0.42578125,Frog,0.36420566974607904,0.00392156862745098,1,0.36420566974607904,Frog
54,Ship,0.98831147,0.00392156862745098,1,0.6860548,Airplane,0.99609375,0.00784313725490196,6,0.5,Airplane,0.43334937760306574,0.00784313725490196,1,0.43334937760306574,Airplane
55,Ship,0.99954057,0.00784313725490196,1,0.62155074,Airplane,0.9921875,0.00784313725490196,1,0.45703125,Airplane,0.46402197267913636,0.00392156862745098,12,0.46402197267913636,Airplane
56,Horse,0.9711864,0.00392156862745098,1,0.7787944,Deer,0.86328125,0.00392156862745098,1,0.89453125,Deer,0.3643625686743211,0.00392156862745098,1,0.3643625686743211,Deer
60,Horse,0.9852374,0.00392156862745098,1,0.70982134,Deer,0.984375,0.00784313725490196,1,0.94921875,Deer,0.6288082237083155,0.00784313725490196,1,0.6288082237083155,Deer
