Image,Class,Correct predtiction from h5,Perturbation for h5,Number of iterations for h5,Probability of wrong prediction h5,Wrong class by h5,Correct prediction from tflite,Perturbation for tflite,Number of iterations for tflite,Probability of wrong prediction tflite,Wrong class by tflite,Correct prediction from axc,Perturbation for axc,Number of iterations for axc,Probability of wrong prediction axc,Wrong class by axc
0,Cat,0.90375733,0,1,0.8340054,Dog,0.71484375,0.00392156862745098,1,0.86328125,Dog,0.6625951999274183,0.00392156862745098,1,0.6625951999274183,Dog
9,Automobile,0.82458395,0,1,0.5246961,Truck,0.61328125,0.00392156862745098,2,0.61328125,Truck,0.47248222010195967,0.00392156862745098,1,0.47248222010195967,Truck
10,Airplane,0.985143,0,1,0.828211,Bird,0.98828125,0.00392156862745098,1,0.3828125,Bird,0.3865243445110479,0.00392156862745098,1,0.3865243445110479,Bird
11,Truck,0.9999702,0,3,0.63192666,Automobile,0.99609375,0.00392156862745098,6,0.96484375,Automobile,0.5225766639568924,0.00392156862745098,6,0.5225766639568924,Automobile
13,Horse,0.9983937,0,2,0.42271352,Dog,0.99609375,0.00392156862745098,2,0.4140625,Dog,0.4579575070478609,0.00392156862745098,2,0.4579575070478609,Dog
14,Truck,0.9999795,0,7,0.9889654,Bird,0.99609375,0.00392156862745098,21,0.7890625,Automobile,0.48590967228805804,0.00392156862745098,21,0.48590967228805804,Automobile
17,Horse,0.9897115,0,1,0.71867263,Cat,0.9765625,0.00392156862745098,1,0.44921875,Cat,0.37933794786414077,0.00392156862745098,1,0.37933794786414077,Cat
18,Ship,0.9994808,0,2,0.71809417,Truck,0.96484375,0.00392156862745098,2,0.8515625,Truck,0.5620790884959561,0.00392156862745098,2,0.5620790884959561,Truck
19,Frog,0.99953425,0,2,0.985319,Bird,0.99609375,0.00392156862745098,2,0.7265625,Bird,0.5746696853368243,0.00392156862745098,2,0.5746696853368243,Bird
21,Airplane,0.9971034,0,2,0.53702915,Bird,0.99609375,0.00392156862745098,3,0.7265625,Bird,0.483220180180798,0.00392156862745098,2,0.483220180180798,Bird
23,Truck,0.99986136,0,2,0.96496046,Automobile,0.99609375,0.00392156862745098,2,0.95703125,Automobile,0.6686125775828693,0.00392156862745098,2,0.6686125775828693,Automobile
26,Deer,0.83718383,0,1,0.72392905,Horse,0.48828125,0.00392156862745098,1,0.671875,Frog,0.4336651044418072,0.00392156862745098,1,0.4336651044418072,Frog
28,Truck,0.99390393,0,1,0.65991914,Automobile,0.99609375,0.00392156862745098,2,0.6953125,Automobile,0.4836449157938727,0.00392156862745098,2,0.4836449157938727,Automobile
36,Deer,0.9976913,0,1,0.69255036,Horse,0.94140625,0.00392156862745098,1,0.80859375,Horse,0.5675422320579833,0.00392156862745098,1,0.5675422320579833,Horse
38,Truck,0.99936646,0,2,0.83802277,Automobile,0.99609375,0.00392156862745098,2,0.89453125,Automobile,0.5063468246249672,0.00392156862745098,2,0.5063468246249672,Automobile
39,Dog,0.9953616,0,1,0.6210762,Cat,0.9921875,0.00392156862745098,1,0.7421875,Cat,0.6178074324463402,0.00392156862745098,1,0.6178074324463402,Cat
40,Deer,0.97399354,0,1,0.60044837,Bird,0.74609375,0.00392156862745098,1,0.71875,Bird,0.3634951626897149,0.00392156862745098,1,0.3634951626897149,Bird
44,Airplane,0.9593594,0,1,0.80184776,Ship,0.9765625,0.00392156862745098,1,0.60546875,Ship,0.44526903120628875,0.00392156862745098,1,0.44526903120628875,Ship
45,Truck,0.9984686,0,1,0.9119906,Automobile,0.99609375,0.00392156862745098,1,0.62109375,Automobile,0.5616130036635244,0.00392156862745098,1,0.5616130036635244,Automobile
50,Truck,0.99235255,0,1,0.9596677,Automobile,0.99609375,0.00392156862745098,1,0.90625,Automobile,0.662652429874195,0.00392156862745098,1,0.662652429874195,Automobile
51,Ship,0.9780075,0,1,0.5342545,Deer,0.4609375,0.00392156862745098,1,0.390625,Deer,0.3812112737944923,0.00392156862745098,1,0.3812112737944923,Deer
55,Ship,0.99954057,0,2,0.5428397,Airplane,0.9921875,0.00392156862745098,2,0.47265625,Airplane,0.5089162438079111,0.00392156862745098,2,0.5089162438079111,Airplane
56,Horse,0.97118676,0,1,0.6974699,Deer,0.86328125,0.00392156862745098,1,0.88671875,Deer,0.3741683106529029,0.00392156862745098,1,0.3741683106529029,Deer
62,Frog,0.9982216,0,2,0.46569708,Automobile,0.99609375,0.00392156862745098,3,0.44140625,Truck,0.5294095369921316,0.00392156862745098,3,0.5294095369921316,Truck
64,Frog,0.97353894,0,1,0.7117506,Deer,0.97265625,0.00392156862745098,1,0.63671875,Bird,0.4950232906970448,0.00392156862745098,1,0.4950232906970448,Bird
66,Automobile,0.9973483,0,1,0.8317652,Truck,0.99609375,0.00392156862745098,1,0.69921875,Truck,0.45720063362881913,0.00392156862745098,1,0.45720063362881913,Truck
67,Bird,0.9897133,0,1,0.97979486,Automobile,0.99609375,0.00392156862745098,1,0.90625,Automobile,0.6589718243588216,0.00392156862745098,1,0.6589718243588216,Automobile
72,Ship,0.9999602,0,3,0.747809,Airplane,0.99609375,0.00392156862745098,5,0.99609375,Truck,0.8514009840772689,0.00392156862745098,5,0.8514009840772689,Truck
73,Ship,0.9993679,0,2,0.51126564,Truck,0.99609375,0.00392156862745098,2,0.59765625,Airplane,0.47936806489184336,0.00392156862745098,2,0.47936806489184336,Airplane
75,Bird,0.9999802,0,3,0.5410561,Horse,0.99609375,0.00392156862745098,3,0.34375,Horse,0.32975168871049004,0.00392156862745098,3,0.32975168871049004,Horse
76,Truck,0.9954862,0,1,0.5254568,Airplane,0.93359375,0.00392156862745098,1,0.90625,Airplane,0.6334926298472842,0.00392156862745098,1,0.6334926298472842,Airplane
78,Cat,0.7697998,0,1,0.4962759,Dog,0.4453125,0.00392156862745098,1,0.7421875,Dog,0.499102557581784,0.00392156862745098,1,0.499102557581784,Dog
81,Automobile,0.9950842,0,1,0.63590574,Truck,0.99609375,0.00392156862745098,2,0.83203125,Truck,0.5439360661549565,0.00392156862745098,2,0.5439360661549565,Truck
82,Automobile,0.9999887,0,3,0.87002146,Truck,0.99609375,0.00392156862745098,3,0.9765625,Truck,0.6365560790754441,0.00392156862745098,3,0.6365560790754441,Truck
83,Horse,0.99322045,0,1,0.53408664,Airplane,0.99609375,0.00392156862745098,7,0.4375,Airplane,0.3751876063971399,0.00392156862745098,7,0.3751876063971399,Airplane
87,Horse,0.96998996,0,1,0.83960485,Deer,0.77734375,0.00392156862745098,1,0.87109375,Deer,0.745767452401607,0.00392156862745098,1,0.745767452401607,Deer
89,Truck,0.99683255,0,1,0.9827602,Automobile,0.99609375,0.00392156862745098,1,0.7265625,Automobile,0.42629442524169003,0.00392156862745098,1,0.42629442524169003,Automobile
90,Airplane,0.994551,0,1,0.92723197,Ship,0.8125,0.00392156862745098,1,0.97265625,Ship,0.5198314154680508,0.00392156862745098,1,0.5198314154680508,Ship
94,Deer,0.9798605,0,1,0.5287404,Horse,0.98828125,0.00392156862745098,2,0.51171875,Horse,0.4119321273271369,0.00392156862745098,2,0.4119321273271369,Horse
102,Frog,0.9996544,0,2,0.6166041,Bird,0.99609375,0.00392156862745098,5,0.4453125,Horse,0.7288950454356287,0.00392156862745098,5,0.7288950454356287,Horse
105,Automobile,0.99952924,0,2,0.93273205,Truck,0.99609375,0.00392156862745098,2,0.94140625,Truck,0.5971603169306814,0.00392156862745098,2,0.5971603169306814,Truck
107,Frog,0.9999645,0,3,0.5054153,Deer,0.99609375,0.00392156862745098,11,0.80078125,Deer,0.6502594510779969,0.00392156862745098,11,0.6502594510779969,Deer
113,Bird,0.9990095,0,1,0.8178812,Frog,0.99609375,0.00392156862745098,1,0.8125,Frog,0.6260880192494443,0.00392156862745098,1,0.6260880192494443,Frog
114,Automobile,0.99719065,0,1,0.8716248,Truck,0.8125,0.00392156862745098,1,0.99609375,Truck,0.7128093636898242,0.00392156862745098,1,0.7128093636898242,Truck
116,Airplane,0.99745077,0,2,0.62385076,Cat,0.9921875,0.00392156862745098,2,0.6796875,Cat,0.44208608353887224,0.00392156862745098,2,0.44208608353887224,Cat
117,Deer,0.9305798,0,1,0.29024777,Cat,0.78125,0.00392156862745098,1,0.43359375,Cat,0.43519968854644014,0.00392156862745098,1,0.43519968854644014,Horse
129,Bird,0.99410784,0,1,0.50734305,Airplane,0.9765625,0.00392156862745098,2,0.6796875,Airplane,0.5983101073372662,0.00392156862745098,2,0.5983101073372662,Airplane
130,Deer,0.99983096,0,2,0.6382296,Horse,0.99609375,0.00392156862745098,5,0.75390625,Horse,0.7008579015547001,0.00392156862745098,5,0.7008579015547001,Horse
132,Ship,0.99893516,0,2,0.5229526,Truck,0.984375,0.00392156862745098,2,0.546875,Truck,0.31645280981108087,0.00392156862745098,2,0.31645280981108087,Automobile
134,Automobile,0.9995103,0,2,0.56307465,Truck,0.99609375,0.00392156862745098,2,0.515625,Truck,0.8876721253365022,0.00392156862745098,3,0.8876721253365022,Truck
136,Truck,0.99840504,0,2,0.40954113,Frog,0.99609375,0.00392156862745098,2,0.8984375,Frog,0.6442386900788023,0.00392156862745098,2,0.6442386900788023,Frog
