Image,Class,Correct predtiction from h5,Perturbation for h5,Number of iterations for h5,Probability of wrong prediction h5,Wrong class by h5,Correct prediction from tflite,Perturbation for tflite,Number of iterations for tflite,Probability of wrong prediction tflite,Wrong class by tflite,Correct prediction from axc,Perturbation for axc,Number of iterations for axc,Probability of wrong prediction axc,Wrong class by axc
0,Cat,0.90375733,0.00392156862745098,1,0.88107145,Dog,0.71484375,0.00392156862745098,1,0.921875,Dog,0.6968652668717988,0.00392156862745098,1,0.6968652668717988,Dog
1,Ship,0.98375016,0.00392156862745098,1,0.9999864,Automobile,0.99609375,0.00392156862745098,1,0.99609375,Automobile,0.6513748191653811,0.00392156862745098,1,0.6513748191653811,Automobile
5,Frog,0.99988496,0.00392156862745098,1,0.8295599,Truck,0.99609375,0.00392156862745098,1,0.99609375,Truck,0.5215303522369097,0.0196078431372549,1,0.5215303522369097,Truck
7,Frog,0.98126423,0.00392156862745098,1,0.8991598,Bird,0.99609375,0.00392156862745098,1,0.703125,Bird,0.705826113998926,0.00392156862745098,1,0.705826113998926,Bird
8,Cat,0.96681,0.00392156862745098,1,0.94508153,Dog,0.984375,0.00392156862745098,1,0.3828125,Dog,0.5674398119942582,0.00392156862745098,1,0.5674398119942582,Dog
9,Automobile,0.82458395,0.00392156862745098,1,0.6451554,Truck,0.61328125,0.00392156862745098,1,0.57421875,Truck,0.5356246746271542,0.00392156862745098,1,0.5356246746271542,Truck
10,Airplane,0.985143,0.00392156862745098,1,0.51704454,Bird,0.98828125,0.00392156862745098,1,0.73828125,Horse,0.4811953915785255,0.00392156862745098,1,0.4811953915785255,Horse
13,Horse,0.9983937,0.00392156862745098,1,0.93419313,Truck,0.99609375,0.00392156862745098,1,0.99609375,Truck,0.9247487619595821,0.00392156862745098,1,0.9247487619595821,Truck
17,Horse,0.9897115,0.00392156862745098,1,0.32223982,Dog,0.9765625,0.00392156862745098,1,0.71875,Frog,0.3598098015346913,0.00392156862745098,1,0.3598098015346913,Frog
18,Ship,0.9994808,0.00392156862745098,1,1.0,Truck,0.96484375,0.00392156862745098,1,0.99609375,Truck,0.7539577355360981,0.00392156862745098,1,0.7539577355360981,Truck
19,Frog,0.99953425,0.00392156862745098,1,0.9095545,Bird,0.99609375,0.00392156862745098,1,0.96484375,Horse,0.3522080214016742,0.00392156862745098,1,0.3522080214016742,Truck
