Image,h5_fooled,nit_h5,h5_wprediction,h5_to_tflite,h5_to_tflite_wprediction,h5_to_axc,h5_to_axc_wprediction,tflite_fooled,nit_tflite,tflite_wprediction,tflite_to_axc,tflite_to_axc_wprediction,axc_fooled,nit_axc,axc_wprediction,axc_to_h5_back
0,True,1,0.9507919,True,0.5703125,False,0,True,1,0.98828125,True,0.7789485279576509,True,1,0.7789485279576509,True
1,True,1,0.9992054,True,0.8125,True,0.40231919540687117,True,1,0.99609375,True,0.39983082585847524,True,1,0.39983082585847524,True
2,True,1,0.9997323,True,0.99609375,True,0.8093633704440917,True,1,0.99609375,True,0.7862000822632911,True,1,0.7862000822632911,True
4,True,1,0.97312444,False,0,False,0,True,1,0.7890625,True,0.6625900776769552,True,1,0.6625900776769552,True
5,True,1,0.72736865,False,0,False,0,False,1,0,False,0,False,1,0,False
6,True,1,0.9814399,True,0.94921875,True,0.46414523948360675,True,1,0.96875,True,0.5670515546013625,True,43,0.5670515546013625,True
7,True,1,0.70229656,True,0.66015625,True,0.7473946806802785,False,1,0,False,0,True,1,0.7473946806802785,True
8,True,1,0.9966338,True,0.99609375,True,0.7389355318164329,True,1,0.99609375,True,0.7419057940948096,True,1,0.7419057940948096,True
9,True,1,0.95078534,True,0.984375,True,0.6363928610929103,True,1,0.984375,True,0.6840792991061043,True,2,0.6840792991061043,False
10,True,2,0.7007907,True,0.63671875,True,0.5679883491240586,True,1,0.97265625,False,0,False,14,0,False
11,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
13,True,1,0.8103459,True,0.47265625,False,0,True,1,0.91796875,True,0.5388588915794601,True,6,0.5388588915794601,True
14,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
15,True,1,0.98926264,True,0.66015625,False,0,True,1,0.96875,True,0.8329524894167168,True,1,0.8329524894167168,False
16,True,1,0.98043907,True,0.9453125,True,0.591508481887281,True,1,0.953125,True,0.7717899750648388,True,1,0.7717899750648388,True
17,True,2,0.8023647,True,0.4375,True,0.36274447543794214,True,2,0.75390625,True,0.6065970541289962,True,7,0.6065970541289962,True
18,True,1,0.99976784,True,0.98828125,True,0.39237232889990165,True,1,0.9921875,True,0.3068624168531998,True,1,0.3068624168531998,True
19,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
21,True,1,0.7879632,True,0.75390625,False,0,True,1,0.99609375,True,0.481129411335944,True,8,0.481129411335944,True
22,True,1,0.99895513,True,0.9921875,True,0.9397157149394723,True,1,0.984375,True,0.7363738349238873,True,1,0.7363738349238873,True
23,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
26,True,1,0.99753606,True,0.99609375,True,0.929049117486124,True,1,0.99609375,True,0.8614887989157255,True,1,0.8614887989157255,True
27,True,1,0.953553,False,0,False,0,True,1,0.91796875,True,0.5607130351787051,True,1,0.5607130351787051,False
28,True,1,0.9585059,True,0.7578125,True,0.6233932027316048,True,4,0.8359375,False,0,False,22,0,False
29,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
30,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
34,True,1,0.8463142,False,0,False,0,False,1,0,False,0,False,1,0,False
36,True,1,0.9892286,True,0.98828125,True,0.7452443785011557,True,1,0.9765625,True,0.7713774826946077,True,1,0.7713774826946077,True
38,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
39,True,1,0.98377985,False,0,False,0,True,1,0.8515625,True,0.7628059061166691,True,1,0.7628059061166691,False
40,True,1,0.9842076,True,0.96875,True,0.8477468145372472,True,1,0.99609375,True,0.8295306441864425,True,1,0.8295306441864425,False
41,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
43,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
44,True,1,0.915617,True,0.8046875,True,0.4976885769744926,True,1,0.96484375,True,0.5850858070937668,True,26,0.5850858070937668,True
45,True,2,0.76644087,False,0,False,0,False,1,0,False,0,False,1,0,False
46,True,1,0.9986928,True,0.99609375,True,0.8246771990110651,True,1,0.99609375,True,0.6881061248232242,True,1,0.6881061248232242,True
48,True,1,0.7712784,True,0.98046875,True,0.5131234653796228,True,1,0.8046875,True,0.4145917235277653,True,97,0.4145917235277653,True
49,False,1,0,False,0,False,0,True,1,0.85546875,True,0.5841117628489324,True,25,0.5841117628489324,True
50,True,1,0.99492174,True,0.9609375,True,0.7466929316445896,True,1,0.984375,True,0.7006775296502262,True,1,0.7006775296502262,True
51,True,2,0.8992541,True,0.9765625,True,0.6987170219306359,True,1,0.98046875,True,0.6043327915011488,True,1,0.6043327915011488,True
54,True,1,0.99991155,True,0.9140625,True,0.5072462771291615,True,1,0.99609375,True,0.6694054066042706,True,1,0.6694054066042706,True
55,True,1,0.9947648,True,0.99609375,True,0.8823967005002212,True,1,0.99609375,True,0.8006164608784848,True,1,0.8006164608784848,True
56,True,1,0.9913214,True,0.99609375,True,0.7064079946174808,True,1,0.9921875,True,0.5577488268768758,True,6,0.5577488268768758,True
60,True,1,0.7257598,True,0.69921875,True,0.5107525701581359,True,1,0.94921875,True,0.5847729804412327,True,11,0.5847729804412327,False
61,True,1,0.99779797,True,0.9921875,True,0.8320271042142071,True,1,0.99609375,True,0.8052444351671421,True,1,0.8052444351671421,True
62,True,89,0.8057513,True,0.4609375,True,0.3972141727780403,False,1,0,False,0,False,1,0,False
63,True,1,0.96053535,True,0.99609375,True,0.6795376288887172,True,1,0.98828125,True,0.6919131266948874,True,2,0.6919131266948874,True
64,True,7,0.83162695,True,0.578125,True,0.4870554650023087,True,9,0.859375,True,0.6812923436750754,True,11,0.6812923436750754,False
66,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
67,True,1,0.96264887,False,0,False,0,True,1,0.99609375,True,0.8649099649952418,True,1,0.8649099649952418,True
69,True,1,0.95330423,True,0.8515625,True,0.6973191032961852,True,1,0.953125,True,0.6988489817673202,True,1,0.6988489817673202,False
70,True,1,0.9999857,True,0.99609375,True,0.6871332811514713,True,1,0.99609375,True,0.7578072650356021,True,1,0.7578072650356021,True
72,True,1,0.9999355,True,0.99609375,True,0.6266228155953093,True,1,0.99609375,True,0.6382872669801382,True,1,0.6382872669801382,True
73,True,1,0.99825233,True,0.98828125,True,0.5174603035272094,True,1,0.99609375,True,0.7517945813936188,True,3,0.7517945813936188,True
74,True,1,0.99725443,True,0.8671875,True,0.7058572196089685,True,1,0.9765625,True,0.6543936677662843,True,2,0.6543936677662843,True
75,False,1,0,False,0,False,0,True,1,0.8125,True,0.5466185676537051,True,25,0.5466185676537051,True
76,True,3,0.84875566,True,0.6953125,True,0.3516402850063568,True,1,0.91015625,True,0.5910450839002132,True,4,0.5910450839002132,True
77,True,1,0.9986878,True,0.9921875,True,0.7940759181386882,True,1,0.99609375,True,0.8637355434955747,True,1,0.8637355434955747,False
78,True,1,0.98115945,True,0.9921875,True,0.7034040798641569,True,1,0.99609375,True,0.7469145043859464,True,1,0.7469145043859464,True
79,True,1,0.9998971,True,0.984375,True,0.6152777098139305,True,1,0.99609375,True,0.6173411206422679,True,1,0.6173411206422679,True
80,True,1,0.99993026,True,0.99609375,True,0.6395998677767141,True,1,0.99609375,True,0.742745631984192,True,1,0.742745631984192,True
81,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
82,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
83,True,1,0.9909105,True,0.9140625,True,0.616768832633345,True,1,0.99609375,True,0.525328373195408,True,1,0.525328373195408,False
84,True,1,0.9999778,True,0.99609375,True,0.8595255776935077,True,1,0.99609375,True,0.6122967708873699,True,1,0.6122967708873699,True
86,True,1,0.98401153,True,0.8984375,True,0.8135301086945664,True,1,0.98046875,True,0.5600302997719963,True,1,0.5600302997719963,True
87,True,1,0.9998599,True,0.99609375,True,0.6372239105016687,True,1,0.99609375,True,0.6111373178950512,True,1,0.6111373178950512,True
88,True,1,0.99694735,True,0.8046875,True,0.4711688586091852,True,1,0.99609375,True,0.5739318030446019,True,1,0.5739318030446019,True
89,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
90,True,1,0.945158,True,0.9921875,True,0.5955338920243786,True,1,0.9765625,True,0.5471195520489825,True,26,0.5471195520489825,True
92,True,1,0.9983741,True,0.99609375,True,0.6689001992004103,True,1,0.99609375,True,0.6828851778001537,True,1,0.6828851778001537,True
93,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
94,True,1,0.97814286,True,0.39453125,True,0.456122803123067,True,1,0.9140625,True,0.5635247440848595,True,8,0.5635247440848595,True
97,True,1,0.99841225,True,0.99609375,True,0.7223073153858742,True,1,0.99609375,True,0.5225700520826947,True,1,0.5225700520826947,True
98,True,1,0.9940043,False,0,False,0,True,1,0.703125,True,0.3664917597472311,True,34,0.3664917597472311,False
99,True,1,0.99242145,True,0.875,True,0.4873843438132244,True,1,0.95703125,True,0.48665277843563687,True,1,0.48665277843563687,False
102,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
104,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
105,True,1,0.9776742,True,0.91015625,False,0,True,1,0.99609375,True,0.332451164324175,True,13,0.332451164324175,True
106,True,1,0.968073,True,0.5234375,True,0.5502886735553115,True,1,0.8671875,True,0.518633692901279,True,1,0.518633692901279,True
107,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
109,True,1,0.9999608,True,0.99609375,True,0.7424549583292669,True,1,0.99609375,True,0.6555082537615953,True,1,0.6555082537615953,True
110,True,1,0.993551,True,0.99609375,True,0.8519098422502118,True,1,0.99609375,True,0.7441360261943856,True,1,0.7441360261943856,True
111,True,1,0.9999994,True,0.99609375,True,0.7090956512567395,True,1,0.99609375,True,0.7578078351488055,True,1,0.7578078351488055,True
112,True,1,0.80846703,False,0,False,0,True,1,0.82421875,True,0.5634731818288456,True,3,0.5634731818288456,True
113,True,1,0.99805707,True,0.98828125,True,0.6645901155419741,True,1,0.99609375,True,0.7798490636051781,True,1,0.7798490636051781,True
114,True,1,0.9802831,True,0.99609375,True,0.739119022934878,True,1,0.99609375,True,0.8306149189470379,True,1,0.8306149189470379,False
115,True,1,0.9871961,True,0.91796875,True,0.7213900627544277,True,1,0.9921875,True,0.8658732292686974,True,1,0.8658732292686974,True
116,False,1,0,False,0,False,0,True,1,0.97265625,True,0.5746224185077592,True,20,0.5746224185077592,True
