Image,Class,Correct predtiction from h5,Perturbation for h5,Number of iterations for h5,Probability of wrong prediction h5,Wrong class by h5,Correct prediction from tflite,Perturbation for tflite,Number of iterations for tflite,Probability of wrong prediction tflite,Wrong class by tflite,Correct prediction from axc,Perturbation for axc,Number of iterations for axc,Probability of wrong prediction axc,Wrong class by axc
0,Cat,0.90375733,0.00392156862745098,1,0.8500296,Dog,0.71484375,0.00392156862745098,1,0.8828125,Dog,0.680244245355756,0.00392156862745098,1,0.680244245355756,Dog
1,Ship,0.98375016,0.00392156862745098,1,0.9348225,Automobile,0.99609375,0.00784313725490196,2,0.8359375,Automobile,0.5247971176527645,0.00784313725490196,2,0.5247971176527645,Automobile
2,Ship,0.8124999,0.00392156862745098,1,0.9753675,Automobile,0.8515625,0.00392156862745098,1,0.82421875,Automobile,0.5345440394017704,0.00392156862745098,1,0.5345440394017704,Automobile
4,Frog,0.80885136,0.00392156862745098,1,0.9958165,Deer,0.9765625,0.00392156862745098,3,0.3671875,Deer,0.49608475608120817,0.00392156862745098,1,0.49608475608120817,Deer
5,Frog,0.99988496,0.00784313725490196,2,0.48348194,Dog,0.99609375,0.011764705882352941,17,0.4375,Dog,0.3718297997382719,0.011764705882352941,3,0.3718297997382719,Dog
6,Automobile,0.8863271,0.00392156862745098,1,0.9710541,Truck,0.98828125,0.00392156862745098,1,0.58203125,Truck,0.41644215679906305,0.00392156862745098,1,0.41644215679906305,Truck
7,Frog,0.98126423,0.00392156862745098,3,0.4318904,Bird,0.99609375,0.00784313725490196,11,0.48046875,Bird,0.7382723516567439,0.011764705882352941,3,0.7382723516567439,Bird
8,Cat,0.96681,0.00392156862745098,1,0.37188053,Dog,0.984375,0.00784313725490196,2,0.60546875,Frog,0.370085803222454,0.00784313725490196,2,0.370085803222454,Frog
9,Automobile,0.82458395,0.00392156862745098,1,0.92606366,Truck,0.61328125,0.00392156862745098,1,0.88671875,Truck,0.6394899197583628,0.00392156862745098,1,0.6394899197583628,Truck
10,Airplane,0.985143,0.00784313725490196,2,0.75577754,Bird,0.98828125,0.00784313725490196,3,0.32421875,Deer,0.24964853806575213,0.00784313725490196,4,0.24964853806575213,Horse
11,Truck,0.9999702,0.00784313725490196,7,0.5128055,Automobile,0.99609375,0.011764705882352941,6,0.62109375,Automobile,0.4704375672907045,0.011764705882352941,7,0.4704375672907045,Automobile
13,Horse,0.9983937,0.00784313725490196,2,0.27713725,Dog,0.99609375,0.00784313725490196,2,0.32421875,Dog,0.2947575824063717,0.011764705882352941,5,0.2947575824063717,Cat
14,Truck,0.9999795,0.01568627450980392,12,0.4948399,Automobile,0.99609375,0.023529411764705882,22,0.56640625,Airplane,0.4419040405934086,0.023529411764705882,23,0.4419040405934086,Airplane
15,Ship,0.8059095,0.00392156862745098,1,0.8619923,Deer,0.99609375,0.00784313725490196,2,0.38671875,Frog,0.33247403422823035,0.00784313725490196,2,0.33247403422823035,Deer
16,Dog,0.72443265,0.00392156862745098,1,0.9360772,Cat,0.890625,0.00392156862745098,1,0.65625,Cat,0.5358421270876307,0.00392156862745098,1,0.5358421270876307,Cat
17,Horse,0.9897115,0.00784313725490196,2,0.80403167,Cat,0.9765625,0.00784313725490196,2,0.46484375,Cat,0.34385867802393855,0.00784313725490196,2,0.34385867802393855,Cat
18,Ship,0.9994808,0.00784313725490196,2,0.83757055,Truck,0.96484375,0.00392156862745098,1,0.59375,Truck,0.38665823990532067,0.00392156862745098,2,0.38665823990532067,Truck
19,Frog,0.99953425,0.00784313725490196,2,0.89507604,Bird,0.99609375,0.011764705882352941,3,0.859375,Bird,0.4930004997229267,0.00784313725490196,8,0.4930004997229267,Bird
21,Airplane,0.9971034,0.011764705882352941,3,0.63716626,Bird,0.99609375,0.011764705882352941,3,0.58203125,Bird,0.4900172563023925,0.01568627450980392,4,0.4900172563023925,Bird
22,Deer,0.91413265,0.00392156862745098,1,0.93433666,Airplane,0.9609375,0.00392156862745098,1,0.828125,Airplane,0.6255580981329482,0.00392156862745098,1,0.6255580981329482,Airplane
23,Truck,0.99986136,0.00784313725490196,2,0.692462,Automobile,0.99609375,0.00784313725490196,2,0.5390625,Automobile,0.4838078031424424,0.00784313725490196,2,0.4838078031424424,Automobile
26,Deer,0.83718383,0.00392156862745098,1,0.859747,Horse,0.48828125,0.00392156862745098,1,0.85546875,Frog,0.51940674910535,0.00392156862745098,1,0.51940674910535,Frog
27,Airplane,0.5917895,0.00392156862745098,1,0.9793021,Bird,0.9609375,0.00392156862745098,1,0.57421875,Bird,0.47606357959580053,0.00392156862745098,11,0.47606357959580053,Bird
28,Truck,0.99390393,0.00784313725490196,2,0.923182,Automobile,0.99609375,0.00784313725490196,2,0.6953125,Automobile,0.5584022360833384,0.00784313725490196,2,0.5584022360833384,Automobile
29,Frog,0.99999845,0.00784313725490196,6,0.4892723,Deer,0.99609375,0.011764705882352941,4,0.4453125,Deer,0.38528454217930164,0.011764705882352941,3,0.38528454217930164,Deer
30,Frog,0.9960562,0.00392156862745098,21,0.3150873,Deer,0.99609375,0.011764705882352941,3,0.66796875,Cat,0.40355239210891686,0.00784313725490196,6,0.40355239210891686,Cat
34,Truck,0.9987675,0.00784313725490196,2,0.8448011,Airplane,0.99609375,0.011764705882352941,3,0.49609375,Airplane,0.4199266101244553,0.011764705882352941,4,0.4199266101244553,Airplane
36,Deer,0.9976913,0.00392156862745098,12,0.47179046,Dog,0.94140625,0.00392156862745098,2,0.4609375,Horse,0.3504915430820053,0.00392156862745098,1,0.3504915430820053,Dog
38,Truck,0.99936646,0.00784313725490196,2,0.58380455,Automobile,0.99609375,0.011764705882352941,3,0.859375,Automobile,0.4468748643136611,0.00784313725490196,2,0.4468748643136611,Automobile
39,Dog,0.9953616,0.00784313725490196,2,0.80197686,Horse,0.9921875,0.00784313725490196,5,0.4453125,Horse,0.40527387375362717,0.00784313725490196,3,0.40527387375362717,Horse
40,Deer,0.97399354,0.00392156862745098,1,0.41168624,Bird,0.74609375,0.00392156862745098,1,0.515625,Bird,0.35677949914787505,0.00392156862745098,2,0.35677949914787505,Bird
41,Frog,0.99999714,0.00784313725490196,7,0.52878493,Bird,0.99609375,0.01568627450980392,4,0.6953125,Bird,0.5205179275073889,0.011764705882352941,9,0.5205179275073889,Bird
43,Frog,0.9999255,0.00784313725490196,2,0.9825431,Ship,0.99609375,0.011764705882352941,3,0.828125,Ship,0.6633731288783102,0.011764705882352941,3,0.6633731288783102,Ship
44,Airplane,0.9593594,0.00392156862745098,1,0.5424514,Ship,0.9765625,0.00784313725490196,2,0.890625,Ship,0.47706878485636156,0.00784313725490196,2,0.47706878485636156,Ship
45,Truck,0.9984686,0.00784313725490196,2,0.93308526,Automobile,0.99609375,0.00784313725490196,2,0.62109375,Automobile,0.5452812421227057,0.00784313725490196,2,0.5452812421227057,Automobile
46,Cat,0.7659279,0.00392156862745098,1,0.66049725,Frog,0.5390625,0.00392156862745098,1,0.83203125,Frog,0.41069113375438027,0.00392156862745098,1,0.41069113375438027,Frog
48,Horse,0.99569243,0.00392156862745098,1,0.8541979,Deer,0.99609375,0.00784313725490196,2,0.96484375,Deer,0.5388862352469126,0.00784313725490196,2,0.5388862352469126,Deer
49,Frog,0.82671547,0.00392156862745098,1,0.68822104,Deer,0.83203125,0.00392156862745098,1,0.78515625,Bird,0.7782002063127158,0.00392156862745098,1,0.7782002063127158,Bird
50,Truck,0.99235255,0.00392156862745098,2,0.50235754,Automobile,0.99609375,0.00784313725490196,2,0.94140625,Automobile,0.713419921399339,0.00784313725490196,2,0.713419921399339,Automobile
51,Ship,0.9780075,0.00392156862745098,1,0.46809986,Deer,0.4609375,0.00392156862745098,1,0.4140625,Frog,0.36420566974607904,0.00392156862745098,1,0.36420566974607904,Frog
54,Ship,0.98831147,0.00392156862745098,1,0.68415207,Airplane,0.99609375,0.00784313725490196,2,0.5,Airplane,0.4288884734086809,0.00784313725490196,2,0.4288884734086809,Airplane
55,Ship,0.99954057,0.00784313725490196,2,0.89815706,Airplane,0.9921875,0.00784313725490196,2,0.78515625,Airplane,0.43727385655132606,0.00392156862745098,37,0.43727385655132606,Airplane
56,Horse,0.97118676,0.00392156862745098,1,0.77858925,Deer,0.86328125,0.00392156862745098,1,0.89453125,Deer,0.4032741845705892,0.00392156862745098,1,0.4032741845705892,Deer
60,Horse,0.9852374,0.00392156862745098,1,0.70982134,Deer,0.984375,0.00784313725490196,2,0.94140625,Deer,0.6171615696352035,0.00784313725490196,2,0.6171615696352035,Deer
61,Cat,0.49874425,0.00392156862745098,1,0.9365108,Dog,0.79296875,0.00392156862745098,1,0.75,Dog,0.5471413828239231,0.00392156862745098,1,0.5471413828239231,Dog
62,Frog,0.9982216,0.00784313725490196,2,0.8159502,Automobile,0.99609375,0.00784313725490196,2,0.47265625,Automobile,0.5329029978271224,0.00784313725490196,2,0.5329029978271224,Automobile
63,Cat,0.45123163,0.00392156862745098,1,0.6166491,Airplane,0.6328125,0.00392156862745098,1,0.7890625,Airplane,0.5636628633837718,0.00392156862745098,1,0.5636628633837718,Airplane
64,Frog,0.97353894,0.00392156862745098,1,0.66979223,Deer,0.97265625,0.00392156862745098,1,0.46875,Bird,0.3918431655048751,0.00392156862745098,1,0.3918431655048751,Bird
66,Automobile,0.9973483,0.00784313725490196,2,0.7523863,Truck,0.99609375,0.00784313725490196,3,0.55078125,Truck,0.4326395139789006,0.00784313725490196,4,0.4326395139789006,Truck
67,Bird,0.9897133,0.00392156862745098,1,0.57814914,Automobile,0.99609375,0.00784313725490196,2,0.9765625,Automobile,0.7962709700365399,0.00784313725490196,2,0.7962709700365399,Automobile
69,Horse,0.6734325,0.00392156862745098,1,0.9705334,Deer,0.73046875,0.00392156862745098,1,0.7109375,Deer,0.5470324758818363,0.00392156862745098,1,0.5470324758818363,Deer
70,Bird,0.9653958,0.00392156862745098,2,0.36771092,Airplane,0.8359375,0.00784313725490196,2,0.5,Horse,0.39181429565477216,0.00392156862745098,2,0.39181429565477216,Horse
72,Ship,0.9999602,0.00784313725490196,3,0.5301129,Airplane,0.99609375,0.011764705882352941,3,0.53515625,Airplane,0.66638649291192,0.011764705882352941,3,0.66638649291192,Airplane
73,Ship,0.9993679,0.00784313725490196,2,0.49237272,Truck,0.99609375,0.011764705882352941,3,0.60546875,Airplane,0.44335580381704837,0.00784313725490196,8,0.44335580381704837,Airplane
74,Airplane,0.9603724,0.00392156862745098,2,0.60940284,Horse,0.8828125,0.00784313725490196,2,0.5,Horse,0.5711695490596379,0.00784313725490196,2,0.5711695490596379,Horse
75,Bird,0.9999802,0.011764705882352941,5,0.67281497,Horse,0.99609375,0.011764705882352941,5,0.40625,Horse,0.3171771831263413,0.011764705882352941,7,0.3171771831263413,Horse
76,Truck,0.9954862,0.00784313725490196,2,0.93944573,Airplane,0.93359375,0.00392156862745098,1,0.6015625,Airplane,0.49399043668061426,0.00392156862745098,1,0.49399043668061426,Airplane
77,Cat,0.6017159,0.00392156862745098,1,0.9002963,Dog,0.5546875,0.00392156862745098,1,0.43359375,Automobile,0.3296069101104952,0.00392156862745098,2,0.3296069101104952,Automobile
78,Cat,0.7697998,0.00392156862745098,1,0.63069487,Dog,0.4453125,0.00392156862745098,1,0.8359375,Dog,0.4613303651798079,0.00392156862745098,1,0.4613303651798079,Dog
79,Ship,0.9849502,0.00392156862745098,1,0.83423805,Airplane,0.99609375,0.00784313725490196,2,0.578125,Airplane,0.4298451112120413,0.00784313725490196,2,0.4298451112120413,Airplane
80,Ship,0.99265456,0.00392156862745098,1,0.7703486,Airplane,0.99609375,0.00784313725490196,2,0.78515625,Airplane,0.4447410077834119,0.00784313725490196,3,0.4447410077834119,Airplane
81,Automobile,0.9950842,0.00784313725490196,2,0.8843347,Truck,0.99609375,0.00784313725490196,2,0.78125,Truck,0.5055997394746936,0.00784313725490196,3,0.5055997394746936,Truck
82,Automobile,0.9999887,0.011764705882352941,3,0.9144143,Truck,0.99609375,0.00784313725490196,2,0.5390625,Truck,0.4653938569384681,0.00784313725490196,11,0.4653938569384681,Truck
83,Horse,0.99322045,0.00392156862745098,3,0.50019675,Airplane,0.99609375,0.00784313725490196,3,0.3515625,Airplane,0.32834810228986383,0.00784313725490196,3,0.32834810228986383,Airplane
84,Bird,0.9486176,0.00392156862745098,1,0.34917215,Horse,0.98046875,0.00784313725490196,4,0.4296875,Horse,0.33795558151012745,0.00784313725490196,2,0.33795558151012745,Airplane
86,Bird,0.725449,0.00392156862745098,1,0.76112056,Cat,0.62109375,0.00392156862745098,1,0.4453125,Cat,0.39854505993067585,0.00392156862745098,1,0.39854505993067585,Cat
87,Horse,0.96998996,0.00392156862745098,1,0.5765754,Deer,0.77734375,0.00392156862745098,1,0.69140625,Deer,0.5775547732041273,0.00392156862745098,1,0.5775547732041273,Deer
88,Ship,0.9518913,0.00392156862745098,1,0.6553647,Truck,0.984375,0.00784313725490196,2,0.8828125,Truck,0.7233244839857408,0.00784313725490196,2,0.7233244839857408,Truck
