Image,Class,Correct predtiction from h5,Perturbation for h5,Number of iterations for h5,Probability of wrong prediction h5,Wrong class by h5,Correct prediction from tflite,Perturbation for tflite,Number of iterations for tflite,Probability of wrong prediction tflite,Wrong class by tflite,Correct prediction from axc,Perturbation for axc,Number of iterations for axc,Probability of wrong prediction axc,Wrong class by axc
0,Cat,0.995774,0.00392156862745098,1,0.97996336,Frog,0.94140625,0.00392156862745098,1,0.703125,Frog,0.4353319403611851,0.00392156862745098,1,0.4353319403611851,Frog
1,Ship,0.99992824,0.00392156862745098,1,0.71898466,Automobile,0.99609375,0.011764705882352941,6,0.54296875,Automobile,0.43723587201730746,0.00392156862745098,3,0.43723587201730746,Automobile
2,Ship,0.9998115,0.00392156862745098,1,0.94962907,Automobile,0.99609375,0.00392156862745098,3,0.49609375,Automobile,0.4287934864933845,0.00392156862745098,3,0.4287934864933845,Automobile
4,Frog,0.99669015,0.00392156862745098,1,0.57589495,Bird,0.99609375,0.011764705882352941,5,0.62109375,Bird,0.4531504583535208,0.011764705882352941,5,0.4531504583535208,Bird
5,Frog,0.99999535,0.00784313725490196,3,0.8281767,Bird,0.99609375,0.050980392156862744,8,0.7890625,Bird,0.4320002163344997,0.050980392156862744,8,0.4320002163344997,Bird
6,Automobile,0.99958235,0.00784313725490196,1,0.83748347,Truck,0.99609375,0.01568627450980392,1,0.8125,Truck,0.3318630443025257,0.0196078431372549,5,0.3318630443025257,Truck
7,Frog,0.99912316,0.00392156862745098,1,0.64872164,Deer,0.99609375,0.00784313725490196,2,0.48046875,Deer,0.27965465352889,0.00784313725490196,2,0.27965465352889,Deer
8,Cat,0.7059212,0.00392156862745098,1,0.9992078,Frog,0.9609375,0.00392156862745098,1,0.90625,Frog,0.5269645017993357,0.00392156862745098,1,0.5269645017993357,Frog
9,Automobile,0.9941117,0.00392156862745098,1,0.78208274,Truck,0.9765625,0.00392156862745098,1,0.54296875,Truck,0.4465527797661257,0.00392156862745098,1,0.4465527797661257,Truck
10,Airplane,0.99993753,0.00392156862745098,3,0.87322146,Deer,0.99609375,0.00784313725490196,3,0.40625,Bird,0.26286330280511566,0.00784313725490196,3,0.26286330280511566,Bird
11,Truck,0.99995077,0.00392156862745098,2,0.59698004,Automobile,0.99609375,0.023529411764705882,2,0.54296875,Automobile,0.5146335799267142,0.023529411764705882,4,0.5146335799267142,Automobile
13,Horse,0.99999976,0.00784313725490196,2,0.5848305,Automobile,0.99609375,0.0196078431372549,7,0.6953125,Deer,0.45186711749100616,0.0196078431372549,1,0.45186711749100616,Bird
14,Truck,0.9973053,0.00392156862745098,1,0.7653294,Automobile,0.9609375,0.00784313725490196,2,0.66015625,Automobile,0.5086110753282336,0.00392156862745098,4,0.5086110753282336,Automobile
15,Ship,0.90601325,0.00392156862745098,1,0.91683364,Airplane,0.98828125,0.00784313725490196,1,0.87890625,Frog,0.5609609979437439,0.00784313725490196,1,0.5609609979437439,Frog
18,Ship,1.0,0.00784313725490196,5,0.59318674,Airplane,0.99609375,0.027450980392156862,3,0.59765625,Frog,0.4555786955626067,0.023529411764705882,7,0.4555786955626067,Frog
19,Frog,1.0,0.011764705882352941,2,0.53868276,Bird,0.99609375,0.06666666666666667,15,0.69921875,Bird,0.39005282161947746,0.06666666666666667,17,0.39005282161947746,Bird
20,Horse,0.85637563,0.00392156862745098,1,0.8340576,Truck,0.98828125,0.00784313725490196,1,0.80078125,Dog,0.4495411823915137,0.00784313725490196,1,0.4495411823915137,Dog
21,Airplane,0.98168635,0.00784313725490196,2,0.76331985,Bird,0.99609375,0.00784313725490196,5,0.62109375,Bird,0.5087625446053241,0.00784313725490196,1,0.5087625446053241,Bird
22,Deer,0.98481977,0.00392156862745098,1,0.99140036,Airplane,0.859375,0.00392156862745098,1,0.53125,Bird,0.3310975753485869,0.00392156862745098,1,0.3310975753485869,Bird
23,Truck,0.9999994,0.011764705882352941,2,0.5524271,Automobile,0.99609375,0.03137254901960784,4,0.625,Automobile,0.4299973913049361,0.043137254901960784,3,0.4299973913049361,Automobile
26,Deer,0.94649476,0.00392156862745098,1,0.28565133,Bird,0.99609375,0.00784313725490196,3,0.8359375,Frog,0.49994767016290936,0.00784313725490196,3,0.49994767016290936,Frog
27,Airplane,0.99959356,0.00392156862745098,2,0.4961053,Bird,0.99609375,0.011764705882352941,3,0.75390625,Bird,0.3660304870937433,0.00784313725490196,1,0.3660304870937433,Frog
29,Frog,0.99998355,0.00784313725490196,1,0.75987834,Bird,0.99609375,0.027450980392156862,4,0.79296875,Deer,0.4966298175845712,0.027450980392156862,4,0.4966298175845712,Deer
30,Frog,0.99999344,0.00392156862745098,3,0.6293913,Bird,0.99609375,0.023529411764705882,6,0.69140625,Bird,0.46698604431849844,0.023529411764705882,6,0.46698604431849844,Bird
31,Dog,0.9331983,0.00392156862745098,1,0.99638224,Bird,0.99609375,0.01568627450980392,6,0.55078125,Bird,0.3323771390679712,0.01568627450980392,6,0.3323771390679712,Bird
34,Truck,0.99997985,0.00784313725490196,2,0.82638544,Airplane,0.99609375,0.011764705882352941,3,0.84375,Ship,0.6060609616765871,0.011764705882352941,3,0.6060609616765871,Ship
36,Deer,0.99978954,0.00392156862745098,3,0.58827543,Horse,0.99609375,0.011764705882352941,1,0.5390625,Horse,0.4025227722463633,0.011764705882352941,1,0.4025227722463633,Horse
37,Automobile,0.96490586,0.00392156862745098,1,0.93759227,Truck,0.84375,0.00784313725490196,4,0.54296875,Truck,0.5220509646712818,0.00784313725490196,6,0.5220509646712818,Truck
38,Truck,0.99968326,0.00784313725490196,2,0.6972357,Automobile,0.99609375,0.0196078431372549,7,0.58203125,Automobile,0.47461291766277186,0.0196078431372549,13,0.47461291766277186,Automobile
39,Dog,0.9999969,0.00392156862745098,3,0.613894,Bird,0.99609375,0.011764705882352941,3,0.7890625,Frog,0.35998809944805277,0.011764705882352941,3,0.35998809944805277,Frog
40,Deer,0.99999917,0.00784313725490196,3,0.91088235,Airplane,0.99609375,0.01568627450980392,19,0.58203125,Airplane,0.49661474632148905,0.01568627450980392,19,0.49661474632148905,Airplane
41,Frog,0.99999917,0.00784313725490196,3,0.46635702,Truck,0.99609375,0.0196078431372549,7,0.5,Bird,0.489987418233617,0.0196078431372549,7,0.489987418233617,Bird
42,Dog,0.9526607,0.00392156862745098,1,0.83360225,Cat,0.99609375,0.011764705882352941,1,0.76171875,Cat,0.5293158711962426,0.011764705882352941,1,0.5293158711962426,Cat
43,Frog,0.9999988,0.00784313725490196,2,0.8119579,Bird,0.99609375,0.047058823529411764,9,0.5703125,Bird,0.3857601257399637,0.047058823529411764,7,0.3857601257399637,Bird
44,Airplane,0.9996561,0.00784313725490196,4,0.60831904,Automobile,0.99609375,0.023529411764705882,1,0.43359375,Ship,0.44705442534118006,0.0196078431372549,1,0.44705442534118006,Ship
45,Truck,0.9999883,0.00784313725490196,1,0.9352533,Automobile,0.99609375,0.011764705882352941,3,0.765625,Automobile,0.47049873265461756,0.00784313725490196,1,0.47049873265461756,Automobile
47,Truck,0.35810968,0.00392156862745098,1,0.87058365,Airplane,0.9375,0.00784313725490196,13,0.52734375,Ship,0.3711667483761821,0.00784313725490196,5,0.3711667483761821,Ship
48,Horse,0.9999981,0.00784313725490196,1,0.95964026,Deer,0.99609375,0.01568627450980392,1,0.83984375,Deer,0.48152314583184785,0.01568627450980392,1,0.48152314583184785,Deer
49,Frog,0.997265,0.00392156862745098,1,0.8843555,Bird,0.99609375,0.00784313725490196,1,0.6953125,Bird,0.49579179780793364,0.00784313725490196,1,0.49579179780793364,Bird
50,Truck,0.998021,0.00392156862745098,4,0.5069029,Automobile,0.99609375,0.01568627450980392,11,0.5,Frog,0.46087775211176857,0.01568627450980392,9,0.46087775211176857,Frog
51,Ship,0.99995875,0.00392156862745098,1,0.7464415,Frog,0.99609375,0.011764705882352941,3,0.81640625,Frog,0.5170105853285734,0.011764705882352941,3,0.5170105853285734,Frog
54,Ship,0.9999733,0.00784313725490196,2,0.8640636,Airplane,0.99609375,0.011764705882352941,2,0.84375,Airplane,0.46834549608402337,0.00784313725490196,4,0.46834549608402337,Airplane
55,Ship,0.99999964,0.00784313725490196,1,0.928431,Bird,0.99609375,0.00784313725490196,1,0.93359375,Bird,0.6643970178103131,0.00784313725490196,1,0.6643970178103131,Bird
57,Horse,0.43932045,0.00392156862745098,1,0.42411977,Frog,0.99609375,0.011764705882352941,1,0.71484375,Cat,0.5600081309057686,0.00392156862745098,1,0.5600081309057686,Truck
59,Frog,0.9875043,0.00392156862745098,1,0.77695614,Deer,0.9921875,0.00392156862745098,1,0.47265625,Deer,0.40301952516550216,0.00392156862745098,1,0.40301952516550216,Deer
60,Horse,0.999017,0.00392156862745098,1,0.92223877,Deer,0.99609375,0.0196078431372549,3,0.953125,Deer,0.46316070753830535,0.0196078431372549,1,0.46316070753830535,Deer
62,Frog,0.99997807,0.00784313725490196,2,0.8123319,Airplane,0.99609375,0.03137254901960784,4,0.58203125,Deer,0.7116279706865818,0.011764705882352941,5,0.7116279706865818,Automobile
63,Cat,0.8982566,0.00392156862745098,2,0.34015632,Automobile,0.81640625,0.00392156862745098,10,0.46875,Automobile,0.5092615707656775,0.00784313725490196,1,0.5092615707656775,Deer
64,Frog,0.9998586,0.00392156862745098,2,0.6663444,Bird,0.99609375,0.043137254901960784,17,0.58203125,Bird,0.4352443917268589,0.047058823529411764,8,0.4352443917268589,Bird
65,Bird,0.99995637,0.00392156862745098,3,0.69832623,Frog,0.99609375,0.00784313725490196,1,0.9609375,Frog,0.5447406000163246,0.00784313725490196,1,0.5447406000163246,Frog
66,Automobile,0.9532106,0.00392156862745098,1,0.9994004,Ship,0.99609375,0.00784313725490196,1,0.953125,Ship,0.6633204860977409,0.00784313725490196,1,0.6633204860977409,Ship
67,Bird,0.9959364,0.00784313725490196,1,0.8612574,Frog,0.99609375,0.047058823529411764,12,0.625,Frog,0.5338344558738882,0.043137254901960784,1,0.5338344558738882,Frog
68,Cat,0.9658789,0.00392156862745098,1,0.95678973,Frog,0.7890625,0.00392156862745098,1,0.7109375,Horse,0.36424755585966584,0.00392156862745098,1,0.36424755585966584,Horse
69,Horse,0.813929,0.00392156862745098,1,0.99552,Deer,0.99609375,0.00784313725490196,1,0.5,Deer,0.26912152552828494,0.011764705882352941,1,0.26912152552828494,Bird
71,Frog,0.9993857,0.00392156862745098,1,0.6556831,Bird,0.99609375,0.03137254901960784,4,0.5,Bird,0.45249305071430446,0.03137254901960784,4,0.45249305071430446,Bird
72,Ship,0.9999583,0.00784313725490196,2,0.8319941,Airplane,0.99609375,0.0196078431372549,8,0.65625,Deer,0.40900524309032665,0.0196078431372549,8,0.40900524309032665,Deer
73,Ship,0.99970067,0.00392156862745098,1,0.536835,Airplane,0.99609375,0.0196078431372549,11,0.78125,Airplane,0.5117320604877075,0.0196078431372549,11,0.5117320604877075,Airplane
75,Bird,1.0,0.01568627450980392,8,0.599593,Frog,0.99609375,0.0196078431372549,14,0.5234375,Dog,0.30127704777459047,0.023529411764705882,18,0.30127704777459047,Dog
76,Truck,0.999949,0.00784313725490196,2,0.54506767,Ship,0.99609375,0.011764705882352941,4,0.484375,Airplane,0.3499340583005749,0.011764705882352941,4,0.3499340583005749,Airplane
77,Cat,0.9128558,0.00392156862745098,1,0.99916637,Ship,0.99609375,0.00784313725490196,1,0.96875,Ship,0.7018411750994183,0.00784313725490196,1,0.7018411750994183,Ship
79,Ship,0.9999455,0.00392156862745098,2,0.54433125,Airplane,0.99609375,0.0196078431372549,7,0.625,Deer,0.42119911176292796,0.00784313725490196,5,0.42119911176292796,Automobile
80,Ship,0.9999989,0.00784313725490196,2,0.89203006,Airplane,0.99609375,0.01568627450980392,12,0.49609375,Airplane,0.45546280825588353,0.01568627450980392,12,0.45546280825588353,Airplane
81,Automobile,1.0,0.00784313725490196,4,0.6426358,Truck,0.99609375,0.011764705882352941,3,0.59765625,Ship,0.4186611506155956,0.00392156862745098,1,0.4186611506155956,Truck
82,Automobile,1.0,0.00784313725490196,2,0.7756006,Truck,0.99609375,0.011764705882352941,3,0.86328125,Truck,0.5855012759537428,0.011764705882352941,3,0.5855012759537428,Truck
83,Horse,0.9999794,0.00392156862745098,2,0.79150754,Deer,0.99609375,0.011764705882352941,7,0.6015625,Deer,0.3947647033584262,0.011764705882352941,7,0.3947647033584262,Deer
84,Bird,0.95520866,0.00392156862745098,1,0.94298184,Cat,0.92578125,0.00392156862745098,1,0.87109375,Cat,0.603616444831974,0.00392156862745098,1,0.603616444831974,Cat
86,Bird,0.99029434,0.00392156862745098,1,0.6128019,Horse,0.9921875,0.00784313725490196,2,0.5390625,Horse,0.4409146136260904,0.00784313725490196,2,0.4409146136260904,Horse
87,Horse,0.9450417,0.00392156862745098,1,0.32854816,Airplane,0.9609375,0.00392156862745098,3,0.484375,Ship,0.3554958776110414,0.00392156862745098,3,0.3554958776110414,Ship
88,Ship,0.99999785,0.00784313725490196,2,0.95515513,Truck,0.99609375,0.01568627450980392,10,0.62109375,Truck,0.511811098165019,0.01568627450980392,11,0.511811098165019,Truck
89,Truck,0.99984396,0.00392156862745098,2,0.64844483,Ship,0.99609375,0.01568627450980392,1,0.79296875,Ship,0.528958791251693,0.01568627450980392,1,0.528958791251693,Ship
90,Airplane,0.9999337,0.00392156862745098,1,0.9983992,Ship,0.99609375,0.00784313725490196,1,0.99609375,Ship,0.6743259129498834,0.00784313725490196,1,0.6743259129498834,Ship
92,Ship,0.99999654,0.00784313725490196,3,0.8788341,Deer,0.99609375,0.03529411764705882,3,0.60546875,Deer,0.30327101502859316,0.023529411764705882,1,0.30327101502859316,Cat
93,Frog,0.999998,0.00784313725490196,3,0.74945426,Bird,0.99609375,0.03529411764705882,7,0.76171875,Deer,0.46236635069499216,0.03529411764705882,16,0.46236635069499216,Deer
94,Deer,0.99932706,0.00392156862745098,2,0.45384216,Horse,0.99609375,0.00784313725490196,11,0.58203125,Horse,0.5011274157939937,0.00784313725490196,11,0.5011274157939937,Horse
95,Frog,0.9401271,0.00392156862745098,2,0.51573926,Deer,0.99609375,0.027450980392156862,3,0.53515625,Deer,0.3582052811128132,0.043137254901960784,4,0.3582052811128132,Deer
96,Frog,0.93633723,0.00392156862745098,1,0.5338285,Bird,0.99609375,0.0392156862745098,3,0.5,Bird,0.5375817440161256,0.043137254901960784,3,0.5375817440161256,Bird
97,Airplane,0.9810037,0.00392156862745098,2,0.68617857,Bird,0.96484375,0.00392156862745098,1,0.85546875,Bird,0.5948808948384561,0.00392156862745098,1,0.5948808948384561,Bird
98,Airplane,0.99015266,0.00392156862745098,2,0.57537246,Bird,0.99609375,0.043137254901960784,7,0.6015625,Bird,0.6271730940340258,0.00392156862745098,1,0.6271730940340258,Bird
99,Horse,0.99999297,0.00392156862745098,2,0.55920523,Airplane,0.99609375,0.01568627450980392,1,0.375,Deer,0.5079144010787833,0.01568627450980392,1,0.5079144010787833,Deer
