Image,Class,Correct predtiction from h5,Perturbation for h5,Number of iterations for h5,Probability of wrong prediction h5,Wrong class by h5,Correct prediction from tflite,Perturbation for tflite,Number of iterations for tflite,Probability of wrong prediction tflite,Wrong class by tflite,Correct prediction from axc,Perturbation for axc,Number of iterations for axc,Probability of wrong prediction axc,Wrong class by axc
2,Ship,0.99981135,0,2,0.633593,Automobile,0.99609375,0.00392156862745098,4,0.921875,Automobile,0.545389777195307,0.00392156862745098,5,0.545389777195307,Automobile
6,Automobile,0.99958235,0,2,0.8646406,Truck,0.99609375,0.00392156862745098,5,0.8203125,Truck,0.8281104958020336,0.00392156862745098,5,0.8281104958020336,Truck
7,Frog,0.9991228,0,1,0.6235991,Deer,0.99609375,0.00392156862745098,3,0.98046875,Deer,0.3123639097615189,0.00392156862745098,1,0.3123639097615189,Cat
9,Automobile,0.99411005,0,1,0.87779695,Truck,0.9765625,0.00392156862745098,1,0.62109375,Truck,0.44491177100144713,0.00392156862745098,1,0.44491177100144713,Truck
10,Airplane,0.99993753,0,2,0.87391,Deer,0.99609375,0.00392156862745098,4,0.90234375,Bird,0.5040446085217121,0.00392156862745098,4,0.5040446085217121,Bird
44,Airplane,0.9996567,0,2,0.6539292,Automobile,0.99609375,0.00392156862745098,2,0.953125,Ship,0.5953288441295376,0.00392156862745098,2,0.5953288441295376,Ship
49,Frog,0.99726605,0,1,0.6194048,Bird,0.99609375,0.00392156862745098,3,0.7265625,Bird,0.5400397112547133,0.00392156862745098,3,0.5400397112547133,Bird
51,Ship,0.99995875,0,2,0.9714398,Frog,0.99609375,0.00392156862745098,3,0.99609375,Frog,0.7395636261638238,0.00392156862745098,3,0.7395636261638238,Frog
54,Ship,0.9999733,0,3,0.9986413,Airplane,0.99609375,0.00392156862745098,3,0.9921875,Airplane,0.7527420888259975,0.00392156862745098,3,0.7527420888259975,Airplane
59,Frog,0.9875471,0,1,0.43606248,Deer,0.9921875,0.00392156862745098,1,0.5,Deer,0.3404786188716542,0.00392156862745098,1,0.3404786188716542,Cat
63,Cat,0.89786184,0,1,0.9193422,Bird,0.81640625,0.00392156862745098,1,0.4375,Bird,0.4947514663983265,0.00392156862745098,1,0.4947514663983265,Bird
65,Bird,0.99995637,0,2,0.9864739,Frog,0.99609375,0.00392156862745098,2,0.96484375,Frog,0.5317685120179819,0.00392156862745098,2,0.5317685120179819,Frog
79,Ship,0.9999455,0,3,0.55065864,Cat,0.99609375,0.00392156862745098,3,0.6953125,Frog,0.4941366806289917,0.00392156862745098,3,0.4941366806289917,Deer
83,Horse,0.9999794,0,3,0.9161935,Deer,0.99609375,0.00392156862745098,3,0.5234375,Deer,0.46663534084525893,0.00392156862745098,3,0.46663534084525893,Deer
84,Bird,0.9552241,0,1,0.784379,Cat,0.92578125,0.00392156862745098,2,0.984375,Cat,0.6124580261276525,0.00392156862745098,2,0.6124580261276525,Cat
90,Airplane,0.9999343,0,2,0.95484364,Ship,0.99609375,0.00392156862745098,3,0.99609375,Ship,0.7951271076865767,0.00392156862745098,3,0.7951271076865767,Ship
97,Airplane,0.98100567,0,1,0.63407546,Ship,0.96484375,0.00392156862745098,1,0.72265625,Deer,0.38882692751426623,0.00392156862745098,1,0.38882692751426623,Bird
110,Deer,0.9976259,0,1,0.6502957,Frog,0.99609375,0.00392156862745098,2,0.84375,Frog,0.5221802002463601,0.00392156862745098,3,0.5221802002463601,Frog
111,Airplane,0.99976987,0,2,0.56266564,Bird,0.99609375,0.00392156862745098,2,0.984375,Bird,0.6632097441307734,0.00392156862745098,2,0.6632097441307734,Bird
112,Frog,0.99894327,0,3,0.942988,Bird,0.96484375,0.00392156862745098,3,0.99609375,Bird,0.7289009956129836,0.00392156862745098,3,0.7289009956129836,Bird
120,Ship,0.99992025,0,2,0.84294,Truck,0.99609375,0.00392156862745098,2,0.4921875,Automobile,0.33268534189682436,0.00392156862745098,2,0.33268534189682436,Truck
142,Frog,0.99997413,0,3,0.98563683,Truck,0.99609375,0.00392156862745098,5,0.57421875,Automobile,0.33113698421193266,0.00392156862745098,5,0.33113698421193266,Automobile
150,Ship,0.9758187,0,1,0.96660346,Airplane,0.81640625,0.00392156862745098,1,0.86328125,Airplane,0.577413465024235,0.00392156862745098,1,0.577413465024235,Airplane
153,Airplane,0.9999603,0,3,0.60920745,Frog,0.99609375,0.00392156862745098,3,0.734375,Frog,0.43552076427550507,0.00392156862745098,3,0.43552076427550507,Deer
166,Ship,0.99995446,0,2,0.58069897,Airplane,0.99609375,0.00392156862745098,6,0.81640625,Airplane,0.36321503910198905,0.00392156862745098,3,0.36321503910198905,Bird
170,Truck,0.9999789,0,3,0.8370438,Automobile,0.99609375,0.00392156862745098,5,0.99609375,Frog,0.5623342071370172,0.00392156862745098,5,0.5623342071370172,Frog
172,Truck,0.9991111,0,1,0.57768685,Bird,0.99609375,0.00392156862745098,1,0.83203125,Automobile,0.8428766984200091,0.00392156862745098,5,0.8428766984200091,Frog
173,Ship,0.99981934,0,2,0.45448384,Frog,0.99609375,0.00392156862745098,2,0.2890625,Deer,0.34069091997026324,0.00392156862745098,2,0.34069091997026324,Deer
175,Truck,0.9999393,0,3,0.55404615,Automobile,0.99609375,0.00392156862745098,5,0.99609375,Frog,0.6682362537379091,0.00392156862745098,5,0.6682362537379091,Frog
180,Airplane,0.9979062,0,1,0.5300981,Deer,0.81640625,0.00392156862745098,1,0.84375,Deer,0.5824151652379529,0.00392156862745098,1,0.5824151652379529,Deer
193,Automobile,0.9985649,0,1,0.67712045,Truck,0.99609375,0.00392156862745098,3,0.91796875,Truck,0.47431275952069485,0.00392156862745098,1,0.47431275952069485,Truck
