Image,Class,Correct predtiction from h5,Perturbation for h5,Number of iterations for h5,Probability of wrong prediction h5,Wrong class by h5,Correct prediction from tflite,Perturbation for tflite,Number of iterations for tflite,Probability of wrong prediction tflite,Wrong class by tflite,Correct prediction from axc,Perturbation for axc,Number of iterations for axc,Probability of wrong prediction axc,Wrong class by axc
0,Cat,0.9957652,0.00392156862745098,1,0.99999356,Frog,0.94140625,0.00392156862745098,1,0.9921875,Frog,0.8008783690951714,0.00392156862745098,1,0.8008783690951714,Frog
1,Ship,0.99992824,0.00392156862745098,1,0.93430376,Bird,0.99609375,0.00392156862745098,1,0.95703125,Frog,0.4637474880251684,0.00392156862745098,1,0.4637474880251684,Frog
2,Ship,0.9998115,0.00392156862745098,1,0.6738982,Bird,0.99609375,0.00392156862745098,1,0.9140625,Frog,0.49111172027139255,0.00392156862745098,1,0.49111172027139255,Frog
4,Frog,0.99669147,0.00392156862745098,1,0.74358106,Bird,0.99609375,0.00392156862745098,1,0.53125,Bird,0.3781437159265576,0.00392156862745098,1,0.3781437159265576,Bird
6,Automobile,0.99958235,0.00392156862745098,1,0.9927112,Frog,0.99609375,0.00392156862745098,1,0.9375,Frog,0.4656041691307511,0.00392156862745098,1,0.4656041691307511,Frog
9,Automobile,0.99411005,0.00392156862745098,1,0.92308164,Ship,0.9765625,0.00392156862745098,1,0.6015625,Truck,0.6649433893029871,0.00392156862745098,1,0.6649433893029871,Ship
10,Airplane,0.99993753,0.00392156862745098,1,0.9969408,Frog,0.99609375,0.00392156862745098,1,0.99609375,Frog,0.6971568969840499,0.00392156862745098,1,0.6971568969840499,Frog
11,Truck,0.99995077,0.00392156862745098,1,0.9933947,Frog,0.99609375,0.00392156862745098,1,0.95703125,Frog,0.5410530495585223,0.00392156862745098,1,0.5410530495585223,Frog
13,Horse,0.99999976,0.00392156862745098,1,0.9792444,Frog,0.99609375,0.00392156862745098,1,0.99609375,Frog,0.6252596915012639,0.00392156862745098,1,0.6252596915012639,Frog
14,Truck,0.9973036,0.00392156862745098,1,0.83696216,Automobile,0.9609375,0.00392156862745098,1,0.66015625,Frog,0.734463782875799,0.00392156862745098,1,0.734463782875799,Frog
2366,Truck,0.9999871,0.00392156862745098,2,1.0,Deer,0.99609375,0.00392156862745098,1,0.421875,Bird,0.40385361709135836,0.00392156862745098,1,0.40385361709135836,Cat
2367,Deer,0.9999821,0.00392156862745098,1,0.99917656,Truck,0.99609375,0.00392156862745098,1,0.65234375,Frog,0.5163025699312862,0.00392156862745098,1,0.5163025699312862,Cat
