Image,h5_fooled,nit_h5,h5_wprediction,h5_to_tflite,h5_to_tflite_wprediction,h5_to_axc,h5_to_axc_wprediction,tflite_fooled,nit_tflite,tflite_wprediction,tflite_to_axc,tflite_to_axc_wprediction,axc_fooled,nit_axc,axc_wprediction,axc_to_h5_back
0,False,1,0,False,0,False,0,True,1,0.73828125,False,0,False,1,0,False
1,False,1,0,False,0,False,0,True,1,0.890625,True,0.4947981373134647,False,1,0,False
2,True,1,0.94280833,False,0,False,0,True,1,0.9296875,True,0.5666988479952207,True,81,0.5666988479952207,True
5,True,1,0.8923638,True,0.4921875,True,0.5557653685484211,False,1,0,False,0,True,97,0.5557653685484211,False
6,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
8,True,1,0.99931145,True,0.8203125,False,0,True,1,0.9765625,False,0,False,1,0,False
9,True,1,0.70622337,False,0,False,0,False,1,0,False,0,False,1,0,False
10,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
11,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
12,True,1,0.9962811,False,0,False,0,True,1,0.87109375,True,0.42271834310097767,True,97,0.42271834310097767,True
13,True,2,0.8717245,False,0,False,0,False,1,0,False,0,False,1,0,False
14,False,1,0,False,0,False,0,True,1,0.98046875,True,0.46381371571236424,True,97,0.46381371571236424,False
15,True,1,0.9989409,False,0,False,0,True,8,0.79296875,False,0,False,1,0,False
18,True,2,0.859496,False,0,False,0,False,1,0,False,0,False,1,0,False
19,False,1,0,False,0,False,0,True,1,0.76953125,False,0,False,1,0,False
20,True,1,0.9997403,False,0,False,0,True,1,0.9453125,True,0.4345401575096806,True,97,0.4345401575096806,True
21,True,1,0.7545243,False,0,False,0,True,3,0.8359375,False,0,False,1,0,False
22,True,1,0.91194034,False,0,False,0,True,1,0.73828125,False,0,False,97,0,False
23,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
24,True,1,0.9999918,True,0.46484375,False,0,True,1,0.99609375,True,0.6950060961713883,True,44,0.6950060961713883,True
26,True,1,0.9923381,False,0,False,0,True,2,0.90234375,True,0.6044023708771802,True,73,0.6044023708771802,False
27,True,1,0.7687471,False,0,False,0,False,1,0,False,0,False,1,0,False
28,False,1,0,False,0,False,0,True,1,0.890625,False,0,False,46,0,False
29,False,1,0,False,0,False,0,True,2,0.703125,False,0,False,1,0,False
30,False,1,0,False,0,False,0,True,1,0.76171875,True,0.4296155336971972,True,97,0.4296155336971972,False
31,True,1,0.99995065,False,0,False,0,True,1,0.9453125,True,0.3198216000417099,False,1,0,False
34,False,1,0,False,0,False,0,True,1,0.890625,True,0.4006330780419112,True,97,0.4006330780419112,False
36,True,2,0.9267035,False,0,False,0,False,1,0,False,0,False,1,0,False
38,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
39,True,1,0.99998605,False,0,False,0,False,1,0,False,0,False,1,0,False
40,True,1,0.8863814,False,0,False,0,True,1,0.83203125,True,0.5385314099333607,True,46,0.5385314099333607,True
41,False,1,0,False,0,False,0,True,5,0.87109375,False,0,False,1,0,False
43,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
44,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
45,True,1,0.93728083,False,0,False,0,True,6,0.703125,False,0,False,1,0,False
46,True,1,0.9997731,True,0.94140625,False,0,True,1,0.99609375,True,0.525228561317932,True,17,0.525228561317932,False
48,True,1,0.91968685,False,0,False,0,False,1,0,False,0,False,1,0,False
49,False,1,0,False,0,False,0,True,1,0.9921875,True,0.5210958816489021,True,28,0.5210958816489021,False
50,True,4,0.8256157,False,0,False,0,False,1,0,False,0,False,1,0,False
51,True,2,0.86350054,False,0,False,0,False,1,0,False,0,False,1,0,False
54,True,1,0.99852043,False,0,False,0,True,1,0.7890625,False,0,False,1,0,False
55,True,1,0.9999193,True,0.84765625,False,0,True,1,0.99609375,False,0,False,1,0,False
60,True,1,0.95103663,False,0,False,0,False,1,0,False,0,False,1,0,False
62,True,1,0.9772898,False,0,False,0,True,1,0.80859375,True,0.52700977620607,True,5,0.52700977620607,True
63,False,1,0,False,0,False,0,True,14,0.76953125,False,0,False,1,0,False
