Image,Class,Correct predtiction from h5,Perturbation for h5,Number of iterations for h5,Probability of wrong prediction h5,Wrong class by h5,Correct prediction from tflite,Perturbation for tflite,Number of iterations for tflite,Probability of wrong prediction tflite,Wrong class by tflite,Correct prediction from axc,Perturbation for axc,Number of iterations for axc,Probability of wrong prediction axc,Wrong class by axc
0,Cat,0.9995772,0.00392156862745098,1,0.8721741,Bird,0.99609375,0.00784313725490196,6,0.625,Bird,0.4605494416304316,0.00784313725490196,10,0.4605494416304316,Bird
1,Ship,0.99999964,0.00784313725490196,2,0.9797005,Automobile,0.99609375,0.00784313725490196,2,0.62890625,Automobile,0.46111767614020865,0.00784313725490196,4,0.46111767614020865,Automobile
2,Ship,0.99239385,0.00392156862745098,1,0.98633415,Automobile,0.890625,0.00392156862745098,2,0.828125,Automobile,0.4781690941625936,0.00392156862745098,1,0.4781690941625936,Automobile
5,Frog,0.9991665,0.00392156862745098,1,0.99732554,Cat,0.99609375,0.00784313725490196,2,0.53515625,Cat,0.46876858563540785,0.00784313725490196,2,0.46876858563540785,Cat
6,Automobile,0.988533,0.00392156862745098,1,0.83558154,Truck,0.99609375,0.01568627450980392,9,0.54296875,Truck,0.49005253038913127,0.011764705882352941,38,0.49005253038913127,Truck
8,Cat,0.99120563,0.00392156862745098,1,0.4357307,Dog,0.99609375,0.00784313725490196,2,0.73828125,Deer,0.5639485814218365,0.00784313725490196,5,0.5639485814218365,Deer
9,Automobile,0.9750753,0.00392156862745098,1,0.977862,Truck,0.99609375,0.00784313725490196,17,0.54296875,Truck,0.47928442662471793,0.00784313725490196,12,0.47928442662471793,Truck
10,Airplane,0.9987747,0.00392156862745098,1,0.34459972,Deer,0.99609375,0.00784313725490196,4,0.96875,Deer,0.4332258632155193,0.00392156862745098,48,0.4332258632155193,Deer
11,Truck,0.99997985,0.00784313725490196,2,0.99562377,Automobile,0.99609375,0.011764705882352941,4,0.62890625,Automobile,0.4827485722701175,0.011764705882352941,6,0.4827485722701175,Automobile
12,Dog,0.7803179,0.00392156862745098,1,0.8887413,Frog,0.87890625,0.00392156862745098,1,0.55078125,Bird,0.25888404832586975,0.00392156862745098,20,0.25888404832586975,Bird
13,Horse,0.9927642,0.00392156862745098,1,0.95879996,Dog,0.99609375,0.01568627450980392,5,0.6484375,Dog,0.3870421786581033,0.01568627450980392,7,0.3870421786581033,Dog
14,Truck,0.9894021,0.00392156862745098,1,0.8381647,Automobile,0.94140625,0.00392156862745098,1,0.703125,Automobile,0.4353041117679982,0.00392156862745098,1,0.4353041117679982,Automobile
15,Ship,0.9957404,0.00392156862745098,1,0.9187059,Frog,0.99609375,0.01568627450980392,5,0.5390625,Frog,0.3908248793875734,0.01568627450980392,11,0.3908248793875734,Frog
18,Ship,0.99999845,0.00784313725490196,2,0.8989175,Airplane,0.99609375,0.00784313725490196,3,0.609375,Airplane,0.439088147386119,0.00784313725490196,4,0.439088147386119,Airplane
19,Frog,0.9999858,0.00784313725490196,2,0.98707503,Bird,0.99609375,0.00784313725490196,3,0.5859375,Bird,0.4330132209385157,0.00784313725490196,4,0.4330132209385157,Bird
20,Horse,0.41774687,0.00392156862745098,1,0.80948025,Cat,0.859375,0.00392156862745098,1,0.8125,Airplane,0.3536089009150703,0.00392156862745098,2,0.3536089009150703,Airplane
21,Airplane,0.99389994,0.00392156862745098,4,0.61711836,Bird,0.94921875,0.00784313725490196,4,0.5625,Bird,0.3351736951283335,0.00784313725490196,14,0.3351736951283335,Bird
22,Deer,0.99468625,0.00392156862745098,1,0.41954052,Frog,0.99609375,0.00784313725490196,2,0.43359375,Frog,0.3346689169681258,0.00392156862745098,7,0.3346689169681258,Frog
23,Truck,0.99983907,0.00392156862745098,4,0.5053113,Automobile,0.99609375,0.00784313725490196,2,0.66796875,Automobile,0.48602813145743323,0.00784313725490196,4,0.48602813145743323,Automobile
